mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
naive,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,grid,0.39744868218482304,0.8993873517786561,0.8498579863965917,0.5337965437377516,0.04072599251448396,0.05892034233048058,0.0020038763509740154
naive,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,grid,0.24390181754312623,0.9819169960474309,0.25450332610807985,0.08309282023873152,0.08476748756686549,0.05712639894667544,0.0020038763509740154
rehearsal,64,0.3,0.001,0.0,60,5000,1000.0,5.0,grid,0.7717243290332871,0.6497628458498024,0.9067007997608192,0.8090504186709424,0.7625997641549741,0.7614549045424621,0.7407772412207221
rehearsal,64,0.3,0.001,0.0,90,5000,1000.0,5.0,grid,0.8282348297655634,0.8831818181818182,0.8782233350773601,0.8345804382683057,0.7943533915540136,0.7863890717577353,0.7926809237541473
rehearsal,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,grid,0.7522708657101523,0.8044664031620553,0.8401599521638389,0.7335114911811865,0.6926665869123101,0.7115865701119157,0.731234190729608
rehearsal,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,grid,0.7823328445760409,0.7437549407114624,0.8292846999028328,0.7501158026011046,0.7852955753422316,0.788643844634628,0.7969022042639861
rehearsal,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,grid,0.4124415208046291,0.8609288537549407,0.32769638986471333,0.25385711740602174,0.32384256490010765,0.3622448979591837,0.3460793009428074
rehearsal,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,grid,0.6606503065065784,0.9434782608695652,0.7991628671799088,0.4414929627650098,0.5544921641344659,0.6002304147465438,0.6250451693439769
rehearsal,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,grid,0.783777115467969,0.9099209486166008,0.8840346812168324,0.8553714591127739,0.7691453181344317,0.6645325872284398,0.6196576984987353
rehearsal,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,grid,0.5077091775091384,0.8531422924901185,0.303479333283504,0.3961339747015856,0.5244817391007126,0.47325543120473995,0.4957622942741697
rehearsal,64,0.5,0.001,0.0,60,5000,1000.0,5.0,grid,0.7289028477766074,0.9608300395256917,0.7441139098587338,0.6657224300730448,0.670483482303078,0.6483048057932851,0.6839624191058112
rehearsal,64,0.5,0.001,0.0,90,5000,1000.0,5.0,grid,0.8333843775576505,0.9619169960474309,0.9063831377531953,0.7876714769285587,0.7784423974159589,0.7758393680052666,0.7900528891954929
rehearsal,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,grid,0.7647868597275634,0.8024901185770751,0.8477464683459153,0.7018706574024586,0.7192247876540256,0.7433179723502304,0.7740711540356756
rehearsal,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,grid,0.8353768534931282,0.9494268774703557,0.9280028402720681,0.8080349189381792,0.7758105036487618,0.7551514154048716,0.7958345652245327
ewc,64,0.3,0.001,0.0,60,5000,1000.0,5.0,grid,0.19050910219837647,0.6531422924901186,0.18908363853800733,0.06362016746837698,0.09780732486797805,0.10674786043449638,0.032653329391281495
